Time,HR,Temp,BVP,x,y,z
00:07:48,78.57,38.07,58.87,49,-36,-9
00:07:49,78.57,38.05,50.98,40,-35,1
00:07:50,78.55,38.05,43.5,35,-40,3
00:07:51,78.53,38.05,36.73,40,-43,-1
00:07:52,78.5,38.05,30.83,43,-41,-2
00:07:53,78.5,38.05,25.81,47,-36,-1
00:07:54,78.5,38.05,21.53,45,-41,-4
00:07:55,78.5,38.05,17.84,52,-36,-10
00:07:56,78.5,38.05,14.55,52,-34,-13
00:07:57,78.5,38.03,11.55,51,-33,-11
00:07:58,78.53,38.03,8.71,41,-34,-10
00:07:59,78.57,38.03,5.82,40,-37,-11
00:08:00,78.62,38.03,2.59,50,-35,-30
00:08:01,78.65,38.03,-1.26,55,-24,-31
00:08:02,78.68,38.03,-5.93,59,-24,-37
00:08:03,78.72,38.03,-11.39,52,-27,-31
00:08:04,78.77,38.03,-17.25,49,-24,-25
00:08:05,78.8,38,-22.79,53,-22,-25
00:08:06,78.82,38,-27.09,65,-23,-19
00:08:07,78.83,38,-29.31,60,-25,-17
00:08:08,78.85,38,-28.87,52,-23,-17
00:08:09,78.87,37.97,-25.68,59,-24,-19
00:08:10,78.88,37.97,-20.11,53,-24,-23
00:08:11,78.88,37.97,-12.83,53,-27,-25
00:08:12,78.88,37.97,-4.55,51,-28,-19
00:08:13,78.87,37.99,4.22,52,-28,-13
00:08:14,78.85,37.99,13.14,52,-31,-11
00:08:15,78.85,37.99,22.08,50,-32,-3
00:08:16,78.83,37.99,30.86,53,-34,0
00:08:17,78.8,37.95,39.19,56,-34,0
00:08:18,78.77,37.95,46.62,50,-30,-5
00:08:19,78.73,37.95,52.67,49,-31,4
00:08:20,78.72,37.95,56.92,49,-30,4
00:08:21,78.68,37.97,59.18,47,-27,-5
00:08:22,78.65,37.97,59.62,48,-25,-2
00:08:23,78.63,37.97,58.66,51,-29,-3
00:08:24,78.63,37.97,56.85,48,-32,1
00:08:25,78.65,37.95,54.68,63,-28,5
00:08:26,78.68,37.95,52.49,55,-26,-2
00:08:27,78.7,37.95,50.36,58,-25,-1
00:08:28,78.72,37.95,48.19,53,-23,-3
00:08:29,78.73,37.91,45.8,49,-22,-2
00:08:30,78.75,37.91,43.08,56,-21,-1
00:08:31,78.75,37.91,40.01,59,-20,6
00:08:32,78.73,37.91,36.66,66,-21,15
00:08:33,78.7,37.93,33.08,60,-12,15
00:08:34,78.65,37.93,29.31,51,-10,9
00:08:35,78.62,37.93,25.28,59,-16,16
00:08:36,78.6,37.93,20.89,51,-18,5
00:08:37,78.58,37.91,16.12,54,-11,1
00:08:38,78.58,37.91,11.01,64,-11,5
00:08:39,78.58,37.91,5.66,65,-9,6
00:08:40,78.62,37.91,0.13,59,-16,1
00:08:41,78.65,37.91,-5.75,65,-17,0
00:08:42,78.7,37.91,-12.16,53,-13,-6
00:08:43,78.73,37.91,-19.29,40,-10,-10
